"Translaton between Mod1 Outputs and PV names generates read1400coils.substitutions",,,,,,
"IOC Offset",".DESC field","IOC PV Name","Meaning of 1 State","Meaning of 0 State","Modicon Output #",Alias
42,"PGB2 Turbo Pump On Command","PGB2:TurboPumpOn:CMD","On","Not On",43,"MOD1:Coil0043:Read"
43,"PGB2 Turbo Pump Slow Command","PGB2:TurboPumpSlow:CMD","Slow","Not Slow",44,"MOD1:Coil0044:Read"
44,"PGC1 Turbo Pump On Command","PGC1:TurboPumpOn:CMD","On","Not On",45,"MOD1:Coil0045:Read"
45,"PGC1 Turbo Pump Slow Command","PGC1:TurboPumpSlow:CMD","Slow","Not Slow",46,"MOD1:Coil0046:Read"
46,"xx","CoilBlank0047","One","Zero",47,"MOD1:Coil0047:Read"
47,"xx","CoilBlank0048","One","Zero",48,"MOD1:Coil0048:Read"
48,"Turn Off PSARC Command -Low Pulse-","Source:Arc:Off:CMD","Off","Not Off",49,"MOD1:Coil0049:Read"
49,"Turn On PSARC Command -Hi Pulse-","Source:Arc:On:CMD","On","Not On",50,"MOD1:Coil0050:Read"
50,"Reset PSARC External Interlock","Source:Arc:Reset:CMD","Reset","Not Reset",51,"MOD1:Coil0051:Read"
51,"Turn On Dose Rate Servo Command","Source:Arc:DoseRateServoOn:CMD","On","Not On",52,"MOD1:Coil0052:Read"
52,"Turn Off Defl Entr -Neg Pulse-","DEFLEntry:Off:CMD","Off","Not Off",53,"MOD1:Coil0053:Read"
53,"Turn On Defl Entr ","DEFLEntry:On:CMD","On","Not On",54,"MOD1:Coil0054:Read"
54,"Turn Off Defl Exit -Neg Pulse-","DEFLExit:Off:CMD","Off","Not Off",55,"MOD1:Coil0055:Read"
55,"Turn On Defl Exit ","DEFLExit:On:CMD","On","Not On",56,"MOD1:Coil0056:Read"
56,"Turn Off EMC Exit -Neg Pulse-","EMCExit:Off:CMD","Off","Not Off",57,"MOD1:Coil0057:Read"
57,"Turn On EMC Exit ","EMCExit:On:CMD","On","Not On",58,"MOD1:Coil0058:Read"
58,"Turn Off Defl Probe -Neg Pulse-","DeflProbe:Off:CMD","Off","Not Off",59,"MOD1:Coil0059:Read"
59,"Turn On Defl Probe ","DeflProbe:On:CMD","On","Not On",60,"MOD1:Coil0060:Read"
60,"Turn Off Gas Flow -Neg Pulse-","Source:Gas:Off:CMD","Off","Not Off",61,"MOD1:Coil0061:Read"
61,"Turn On Gas Flow ","Source:Gas:On:CMD","On","Not On",62,"MOD1:Coil0062:Read"
62,"xx","CoilBlank0063","One","Zero",63,"MOD1:Coil0063:Read"
63,"xx","CoilBlank0064","One","Zero",64,"MOD1:Coil0064:Read"
64,"Set CC 1 Polarity Negative","CC:Coil1:Pol:Neg:CMD","Negative","Not Negative",65,"MOD1:Coil0065:Read"
65,"Set CC 2 Polarity Negative","CC:Coil2:Pol:Neg:CMD","Negative","Not Negative",66,"MOD1:Coil0066:Read"
66,"Set CC 3 Polarity Negative","CC:Coil3:Pol:Neg:CMD","Negative","Not Negative",67,"MOD1:Coil0067:Read"
67,"Set CC 4 Polarity Negative","CC:Coil4:Pol:Neg:CMD","Negative","Not Negative",68,"MOD1:Coil0068:Read"
68,"Set CC 5 Polarity Negative","CC:Coil5:Pol:Neg:CMD","Negative","Not Negative",69,"MOD1:Coil0069:Read"
69,"Set CC 6 Polarity Negative","CC:Coil6:Pol:Neg:CMD","Negative","Not Negative",70,"MOD1:Coil0070:Read"
70,"xx","CoilBlank0071","One","Zero",71,"MOD1:Coil0071:Read"
71,"xx","CoilBlank0072","One","Zero",72,"MOD1:Coil0072:Read"
72,"Set CC 7 Polarity Negative","CC:Coil7:Pol:Neg:CMD","Negative","Not Negative",73,"MOD1:Coil0073:Read"
73,"Set CC 8 Polarity Negative","CC:Coil8:Pol:Neg:CMD","Negative","Not Negative",74,"MOD1:Coil0074:Read"
74,"Set CC 9 Polarity Negative","CC:Coil9:Pol:Neg:CMD","Negative","Not Negative",75,"MOD1:Coil0075:Read"
75,"Set CC 10 Polarity Negative","CC:Coil10:Pol:Neg:CMD","Negative","Not Negative",76,"MOD1:Coil0076:Read"
76,"xx","CoilBlank0077","One","Zero",77,"MOD1:Coil0077:Read"
77,"xx","CoilBlank0078","One","Zero",78,"MOD1:Coil0078:Read"
78,"xx","CoilBlank0079","One","Zero",79,"MOD1:Coil0079:Read"
79,"xx","CoilBlank0080","One","Zero",80,"MOD1:Coil0080:Read"
80,"xx","CoilBlank0081","One","Zero",81,"MOD1:Coil0081:Read"
81,"xx","CoilBlank0082","One","Zero",82,"MOD1:Coil0082:Read"
82,"xx","CoilBlank0083","One","Zero",83,"MOD1:Coil0083:Read"
83,"xx","CoilBlank0084","One","Zero",84,"MOD1:Coil0084:Read"
84,"xx","CoilBlank0085","One","Zero",85,"MOD1:Coil0085:Read"
85,"xx","CoilBlank0086","One","Zero",86,"MOD1:Coil0086:Read"
86,"xx","CoilBlank0087","One","Zero",87,"MOD1:Coil0087:Read"
87,"xx","CoilBlank0088","One","Zero",88,"MOD1:Coil0088:Read"
88,"xx","CoilBlank0089","One","Zero",89,"MOD1:Coil0089:Read"
89,"xx","CoilBlank0090","One","Zero",90,"MOD1:Coil0090:Read"
90,"xx","CoilBlank0091","One","Zero",91,"MOD1:Coil0091:Read"
91,"xx","CoilBlank0092","One","Zero",92,"MOD1:Coil0092:Read"
92,"xx","CoilBlank0093","One","Zero",93,"MOD1:Coil0093:Read"
93,"xx","CoilBlank0094","One","Zero",94,"MOD1:Coil0094:Read"
94,"xx","CoilBlank0095","One","Zero",95,"MOD1:Coil0095:Read"
95,"xx","CoilBlank0096","One","Zero",96,"MOD1:Coil0096:Read"
96,"Turn PSMC Off   ","MC:PowerOff:CMD","Off","Not Off",97,"MOD1:Coil0097:Read"
97,"Turn PSMC On Command ","MC:PowerOn:CMD","On","Not On",98,"MOD1:Coil0098:Read"
98,"Reset PSMC ","MC:Reset:CMD","Reset","Not Reset",99,"MOD1:Coil0099:Read"
99,"Reset Circ Coil Cooling Intlk ","CC:CoolingIntlkReset:CMD","Reset","Not Reset",100,"MOD1:Coil0100:Read"
100,"CC1-6 Turn Off   ","CC:1-6:PowerOff:CMD","Off","Not Off",101,"MOD1:Coil0101:Read"
101,"CC1-6 Turn On ","CC:1-6:PowerOn:CMD","On","Not On",102,"MOD1:Coil0102:Read"
102,"CC7-10 Turn Off   ","CC:7-10:PowerOff:CMD","Off","Not Off",103,"MOD1:Coil0103:Read"
103,"CC7-10 Turn On ","CC:7-10:PowerOn:CMD","On","Not On",104,"MOD1:Coil0104:Read"
104,"PSHC A Turn Off   ","HC:CoilA:PowerOff:CMD","Off","Not Off",105,"MOD1:Coil0105:Read"
105,"PSHC A Turn On ","HC:CoilA:PowerOn:CMD","On","Not On",106,"MOD1:Coil0106:Read"
106,"PSHC B Turn Off   ","HC:CoilB:PowerOff:CMD","Off","Not Off",107,"MOD1:Coil0107:Read"
107,"PSHC B Turn On ","HC:CoilB:PowerOn:CMD","On","Not On",108,"MOD1:Coil0108:Read"
108,"PSHC C Turn Off   ","HC:CoilC:PowerOff:CMD","Off","Not Off",109,"MOD1:Coil0109:Read"
109,"PSHC C Turn On ","HC:CoilC:PowerOn:CMD","On","Not On",110,"MOD1:Coil0110:Read"
110,"PSHC D Turn Off   ","HC:CoilD:PowerOff:CMD","Off","Not Off",111,"MOD1:Coil0111:Read"
111,"PSHC D Turn On ","HC:CoilD:PowerOn:CMD","On","Not On",112,"MOD1:Coil0112:Read"
112,"PSEMC Turn Off","EMC:PowerOff:CMD","Off","Not Off",113,"MOD1:Coil0113:Read"
113,"PSEMC Turn On","EMC:PowerOn:CMD","On","Not On",114,"MOD1:Coil0114:Read"
114,"xx","CoilBlank0115","One","Zero",115,"MOD1:Coil0115:Read"
115,"PSEMC Reset Interlocks","EMC:IntlkReset:CMD","Reset","Not Reset",116,"MOD1:Coil0116:Read"
116,"DECU Vac Interlock OK","DECU:VacIntlkOK:Status","OK","Not OK",117,"MOD1:Coil0117:Read"
117,"DECU Mag Interlock OK","DECU:MagIntlkOK:Status","OK","Not OK",118,"MOD1:Coil0118:Read"
118,"DECU Reset Interlock ","DECU:ResetIntlk:CMD","Reset","Not Reset",119,"MOD1:Coil0119:Read"
119,"PSHV Turn Off   ","PSHV:PowerOff:CMD","Off","Not Off",120,"MOD1:Coil0120:Read"
120,"PSHV Turn On ","PSHV:PowerOn:CMD","On","Not On",121,"MOD1:Coil0121:Read"
121,"ISM Turn Off   ","ISM:PowerOff:CMD","Off","Not Off",122,"MOD1:Coil0122:Read"
122,"ISM Turn On ","ISM:PowerOn:CMD","On","Not On",123,"MOD1:Coil0123:Read"
123,"ISM Reset Cooling Intlk","ISM:IntlkReset:CMD","Reset","Not Reset",124,"MOD1:Coil0124:Read"
124,"Crash Alert to Auto Dial Unit","SAFETY:CrashAlertAutoDial:CMD","One","Zero",125,"MOD1:Coil0125:Read"
125,"SOS Auto Dial","SAFETY:SOSAutoDial:CMD","One","Zero",126,"MOD1:Coil0126:Read"
126,"Power Up Auto Dial Unit","SAFETY:PowerUpAutoDial:CMD","One","Zero",127,"MOD1:Coil0127:Read"
127,"Operator Alert Beepers","SAFETY:OperatorBeepers:CMD","One","Zero",128,"MOD1:Coil0128:Read"
128,"Q1 Lens1 Polarity Vertical","Q1:Lens1:Polarity:Positive:CMD","Vertical","Not Vertical",129,"MOD1:Coil0129:Read"
129,"Q1 Lens2 Polarity Vertical","Q1:Lens2:Polarity:Positive:CMD","Vertical","Not Vertical",130,"MOD1:Coil0130:Read"
130,"Q1 Lens3 Polarity Vertical","Q1:Lens3:Polarity:Positive:CMD","Vertical","Not Vertical",131,"MOD1:Coil0131:Read"
131,"QG Lens1 Polarity Vertical","QG:Lens1:Polarity:Positive:CMD","Vertical","Not Vertical",132,"MOD1:Coil0132:Read"
132,"QG Lens1 Polarity Vertical","QG:Lens2:Polarity:Positive:CMD","Vertical","Not Vertical",133,"MOD1:Coil0133:Read"
133,"QG Lens1 Polarity Vertical","QG:Lens3:Polarity:Positive:CMD","Vertical","Not Vertical",134,"MOD1:Coil0134:Read"
134,"xx","CoilBlank0135","One","Zero",135,"MOD1:Coil0135:Read"
135,"xx","CoilBlank0136","One","Zero",136,"MOD1:Coil0136:Read"
136,"Q2A Lens1/3 Polarity Vertical","Q23A:Q2A:Lens13:Polarity:Positive:CMD","Vertical","Not Vertical",137,"MOD1:Coil0137:Read"
137,"Q2A Lens2 Polarity Vertical","Q23A:Q2A:Lens2:Polarity:Positive:CMD","Vertical","Not Vertical",138,"MOD1:Coil0138:Read"
138,"Q3A Lens1/3 Polarity Vertical","Q23A:Q3A:Lens13:Polarity:Positive:CMD","Vertical","Not Vertical",139,"MOD1:Coil0139:Read"
139,"Q3A Lens2 Polarity Vertical","Q23A:Q3A:Lens2:Polarity:Positive:CMD","Vertical","Not Vertical",140,"MOD1:Coil0140:Read"
140,"xx","CoilBlank0141","One","Zero",141,"MOD1:Coil0141:Read"
141,"xx","CoilBlank0142","One","Zero",142,"MOD1:Coil0142:Read"
142,"xx","CoilBlank0143","One","Zero",143,"MOD1:Coil0143:Read"
143,"xx","CoilBlank0144","One","Zero",144,"MOD1:Coil0144:Read"
144,"Q2B Lens1/3 Polarity Vertical","Q23B:Q2B:Lens13:Polarity:Positive:CMD","Vertical","Not Vertical",145,"MOD1:Coil0145:Read"
145,"Q2B Lens2 Polarity Vertical","Q23B:Q2B:Lens2:Polarity:Positive:CMD","Vertical","Not Vertical",146,"MOD1:Coil0146:Read"
146,"Q3B Lens1/3 Polarity Vertical","Q23B:Q3B:Lens13:Polarity:Positive:CMD","Vertical","Not Vertical",147,"MOD1:Coil0147:Read"
147,"Q3B Lens2 Polarity Vertical","Q23B:Q3B:Lens2:Polarity:Positive:CMD","Vertical","Not Vertical",148,"MOD1:Coil0148:Read"
148,"xx","CoilBlank0149","One","Zero",149,"MOD1:Coil0149:Read"
149,"xx","CoilBlank0150","One","Zero",150,"MOD1:Coil0150:Read"
150,"xx","CoilBlank0151","One","Zero",151,"MOD1:Coil0151:Read"
151,"xx","CoilBlank0152","One","Zero",152,"MOD1:Coil0152:Read"
152,"xx","CoilBlank0153","One","Zero",153,"MOD1:Coil0153:Read"
153,"xx","CoilBlank0154","One","Zero",154,"MOD1:Coil0154:Read"
154,"xx","CoilBlank0155","One","Zero",155,"MOD1:Coil0155:Read"
155,"xx","CoilBlank0156","One","Zero",156,"MOD1:Coil0156:Read"
156,"xx","CoilBlank0157","One","Zero",157,"MOD1:Coil0157:Read"
157,"xx","CoilBlank0158","One","Zero",158,"MOD1:Coil0158:Read"
158,"xx","CoilBlank0159","One","Zero",159,"MOD1:Coil0159:Read"
159,"xx","CoilBlank0160","One","Zero",160,"MOD1:Coil0160:Read"
160,"Q1 Turn Off   ","Q1:PowerOff:CMD","Off","Not Off",161,"MOD1:Coil0161:Read"
161,"Q1 Turn On ","Q1:PowerOn:CMD","On","Not On",162,"MOD1:Coil0162:Read"
162,"Q1 Reset Interlock ","Q1:ResetIntlk:CMD","Reset","Not Reset",163,"MOD1:Coil0163:Read"
163,"Q23B Power Off","Q23B:PowerOff:CMD","Off","Not Off",164,"MOD1:Coil0164:Read"
164,"Q23B Power On","Q23B:PowerOn:CMD","On","Not On",165,"MOD1:Coil0165:Read"
165,"Q23B Reset Interlock","Q23B:ResetIntlk:CMD","Reset","Not Reset",166,"MOD1:Coil0166:Read"
166,"QG Turn Off","QG:PowerOff:CMD","Off","Not Off",167,"MOD1:Coil0167:Read"
167,"QG Turn On","QG:PowerOn:CMD","On","Not On",168,"MOD1:Coil0168:Read"
168,"QG Reset Interlock","QG:ResetIntlk:CMD","Reset","Not Reset",169,"MOD1:Coil0169:Read"
169,"Q23A Power Off","Q23A:PowerOff:CMD","Off","Not Off",170,"MOD1:Coil0170:Read"
170,"Q23A Power On","Q23A:PowerOn:CMD","On","Not On",171,"MOD1:Coil0171:Read"
171,"Q23A Reset Interlock","Q23A:ResetIntlk:CMD","Reset","Not Reset",172,"MOD1:Coil0172:Read"
172,"GCC Turn Off   ","GCC:PowerOff:CMD","Off","Not Off",173,"MOD1:Coil0173:Read"
173,"GCC Turn On ","GCC:PowerOn:CMD","On","Not On",174,"MOD1:Coil0174:Read"
174,"GCC Reset Interlock ","GCC:Reset:CMD","Reset ","Not Reset",175,"MOD1:Coil0175:Read"
175,"GCC polarity negative","GCC:PolarityNegative:CMD","Negative","Not Negative",176,"MOD1:Coil0176:Read"
176,"SM01 Turn Off -neg pulse-","SM01:PowerOff:CMD","Off","Not Off",177,"MOD1:Coil0177:Read"
177,"SM01 Turn On ","SM01:PowerOn:CMD","On","Not On",178,"MOD1:Coil0178:Read"
178,"SM01 Reset ","SM01:Reset:CMD","Reset","Not Reset",179,"MOD1:Coil0179:Read"
179,"SM23 Turn Off -neg pulse-","SM23A:PowerOff:CMD","Off","Not Off",180,"MOD1:Coil0180:Read"
180,"SM23 Turn On ","SM23A:PowerOn:CMD","On","Not On",181,"MOD1:Coil0181:Read"
181,"SM23 Reset ","SM23A:Reset:CMD","Reset","Not Reset",182,"MOD1:Coil0182:Read"
182,"IGS Turn Off -neg pulse-","IGS:PowerOff:CMD","Off","Not Off",183,"MOD1:Coil0183:Read"
183,"IGS Turn On ","IGS:PowerOn:CMD","On","Not On",184,"MOD1:Coil0184:Read"
184,"IGS Reset Interlocks","IGS:ResetIntlk:CMD","Reset","Not Reset",185,"MOD1:Coil0185:Read"
185,"Fix Wobbler Turn Off -neg pulse-","WOBB:Fix:PowerOff:CMD","Off","Not Off",186,"MOD1:Coil0186:Read"
186,"Fix Wobbler Turn On ","WOBB:Fix:PowerOn:CMD","On","Not On",187,"MOD1:Coil0187:Read"
187,"Fix Wobbler Reset Interlocks","WOBB:Fix:ResetIntlk:CMD","Reset","Not Reset",188,"MOD1:Coil0188:Read"
188,"xx","CoilBlank0189","One","Zero",189,"MOD1:Coil0189:Read"
189,"xx","CoilBlank0190","One","Zero",190,"MOD1:Coil0190:Read"
190,"xx","CoilBlank0191","One","Zero",191,"MOD1:Coil0191:Read"
191,"xx","CoilBlank0192","One","Zero",192,"MOD1:Coil0192:Read"
192,"SWM Turn Off","SWM:PowerOff:CMD","Off","Not Off",193,"MOD1:Coil0193:Read"
193,"SWM Turn On","SWM:PowerOn:CMD","On","Not On",194,"MOD1:Coil0194:Read"
194,"SWM Polarity Positive","SWM:Polarity:Left:CMD","Positive","Not Positive",195,"MOD1:Coil0195:Read"
195,"SWM Polarity Negative","SWM:Polarity:Right:CMD","Negative","Not Negative",196,"MOD1:Coil0196:Read"
196,"GDPL Turn Off -neg pulse-","GDP:PowerOff:CMD","Off","Not Off",197,"MOD1:Coil0197:Read"
197,"GDPL Turn On ","GDP:PowerOn:CMD","On","Not On",198,"MOD1:Coil0198:Read"
198,"48 Deg Bending Magnet On","BMG:PowerOn:CMD","Off","Not Off",199,"MOD1:Coil0199:Read"
199,"48 Deg Bending Magnet Off -neg pulse-","BMG:PowerOff:CMD","On","Not On",200,"MOD1:Coil0200:Read"
200,"Q23B Power Off -neg pulse-","Q23B:PowerOff:CMD","Off","Not Off",201,"MOD1:Coil0201:Read"
201,"Q23B Power On ","Q23B:PowerOn:CMD","On","Not On",202,"MOD1:Coil0202:Read"
202,"Q23B Reset Interlock ","Q23B:ResetIntlk:CMD","Reset","Not Reset",203,"MOD1:Coil0203:Read"
203,"xx","CoilBlank0204","One","Zero",204,"MOD1:Coil0204:Read"
204,"xx","CoilBlank0205","One","Zero",205,"MOD1:Coil0205:Read"
205,"xx","CoilBlank0206","One","Zero",206,"MOD1:Coil0206:Read"
206,"MPPC Off -neg pulse-","MPPC:PowerOff:CMD","Off","Not Off",207,"MOD1:Coil0207:Read"
207,"MPPC On ","MPPC:PowerOn:CMD","On","Not On",208,"MOD1:Coil0208:Read"
208,"xx","CoilBlank0209","One","Zero",209,"MOD1:Coil0209:Read"
209,"xx","CoilBlank0210","One","Zero",210,"MOD1:Coil0210:Read"
210,"xx","CoilBlank0211","One","Zero",211,"MOD1:Coil0211:Read"
211,"xx","CoilBlank0212","One","Zero",212,"MOD1:Coil0212:Read"
212,"xx","CoilBlank0213","One","Zero",213,"MOD1:Coil0213:Read"
213,"xx","CoilBlank0214","One","Zero",214,"MOD1:Coil0214:Read"
214,"xx","CoilBlank0215","One","Zero",215,"MOD1:Coil0215:Read"
215,"xx","CoilBlank0216","One","Zero",216,"MOD1:Coil0216:Read"
216,"xx","CoilBlank0217","One","Zero",217,"MOD1:Coil0217:Read"
217,"xx","CoilBlank0218","One","Zero",218,"MOD1:Coil0218:Read"
218,"xx","CoilBlank0219","One","Zero",219,"MOD1:Coil0219:Read"
219,"xx","CoilBlank0220","One","Zero",220,"MOD1:Coil0220:Read"
220,"xx","CoilBlank0221","One","Zero",221,"MOD1:Coil0221:Read"
221,"xx","CoilBlank0222","One","Zero",222,"MOD1:Coil0222:Read"
222,"xx","CoilBlank0223","One","Zero",223,"MOD1:Coil0223:Read"
223,"xx","CoilBlank0224","One","Zero",224,"MOD1:Coil0224:Read"
224,"xx","CoilBlank0225","One","Zero",225,"MOD1:Coil0225:Read"
225,"xx","CoilBlank0226","One","Zero",226,"MOD1:Coil0226:Read"
226,"xx","CoilBlank0227","One","Zero",227,"MOD1:Coil0227:Read"
227,"xx","CoilBlank0228","One","Zero",228,"MOD1:Coil0228:Read"
228,"xx","CoilBlank0229","One","Zero",229,"MOD1:Coil0229:Read"
229,"xx","CoilBlank0230","One","Zero",230,"MOD1:Coil0230:Read"
230,"xx","CoilBlank0231","One","Zero",231,"MOD1:Coil0231:Read"
231,"xx","CoilBlank0232","One","Zero",232,"MOD1:Coil0232:Read"
232,"xx","CoilBlank0233","One","Zero",233,"MOD1:Coil0233:Read"
233,"xx","CoilBlank0234","One","Zero",234,"MOD1:Coil0234:Read"
234,"xx","CoilBlank0235","One","Zero",235,"MOD1:Coil0235:Read"
235,"xx","CoilBlank0236","One","Zero",236,"MOD1:Coil0236:Read"
236,"xx","CoilBlank0237","One","Zero",237,"MOD1:Coil0237:Read"
237,"xx","CoilBlank0238","One","Zero",238,"MOD1:Coil0238:Read"
238,"xx","CoilBlank0239","One","Zero",239,"MOD1:Coil0239:Read"
239,"xx","CoilBlank0240","One","Zero",240,"MOD1:Coil0240:Read"
240,"xx","CoilBlank0241","One","Zero",241,"MOD1:Coil0241:Read"
241,"xx","CoilBlank0242","One","Zero",242,"MOD1:Coil0242:Read"
242,"xx","CoilBlank0243","One","Zero",243,"MOD1:Coil0243:Read"
243,"xx","CoilBlank0244","One","Zero",244,"MOD1:Coil0244:Read"
244,"xx","CoilBlank0245","One","Zero",245,"MOD1:Coil0245:Read"
245,"xx","CoilBlank0246","One","Zero",246,"MOD1:Coil0246:Read"
246,"xx","CoilBlank0247","One","Zero",247,"MOD1:Coil0247:Read"
247,"xx","CoilBlank0248","One","Zero",248,"MOD1:Coil0248:Read"
248,"xx","CoilBlank0249","One","Zero",249,"MOD1:Coil0249:Read"
249,"xx","CoilBlank0250","One","Zero",250,"MOD1:Coil0250:Read"
250,"xx","CoilBlank0251","One","Zero",251,"MOD1:Coil0251:Read"
251,"xx","CoilBlank0252","One","Zero",252,"MOD1:Coil0252:Read"
252,"xx","CoilBlank0253","One","Zero",253,"MOD1:Coil0253:Read"
253,"xx","CoilBlank0254","One","Zero",254,"MOD1:Coil0254:Read"
254,"xx","CoilBlank0255","One","Zero",255,"MOD1:Coil0255:Read"
255,"xx","CoilBlank0256","One","Zero",256,"MOD1:Coil0256:Read"
256,"Modicon 1 Battery OK","MOD1:BattOk:Status","OK","Not OK",257,"MOD1:Coil0257:Read"
257,"PG1 DP and Baffle Flow OK","PG1:DPBaffleFlowOK:Status","OK","Not OK",258,"MOD1:Coil0258:Read"
258,"PG2 DP and Baffle Flow OK","PG2:DPBaffleFlowOK:Status","OK","Not OK",259,"MOD1:Coil0259:Read"
259,"Time Out","CYC:TimeOut:Status","Timed Out","OK",260,"MOD1:Coil0260:Read"
260,"xx","CoilBlank0261","One","Zero",261,"MOD1:Coil0261:Read"
261,"PG1 Timeout -40 min-","PG1:TimeOut:Status","Timed Out","OK",262,"MOD1:Coil0262:Read"
262,"xx","CoilBlank0263","One","Zero",263,"MOD1:Coil0263:Read"
263,"PG2 Timeout -60 min-","PG2:TimeOut:Status","Timed Out","OK",264,"MOD1:Coil0264:Read"
264,"xx","CoilBlank0265","One","Zero",265,"MOD1:Coil0265:Read"
265,"PGSWM Timeout -30 min-","PGSWM:TimeOut:Status","Timed Out","OK",266,"MOD1:Coil0266:Read"
266,"xx","CoilBlank0267","One","Zero",267,"MOD1:Coil0267:Read"
267,"PGA1 Timeout -20 min-","PGA1:TimeOut:Status","Timed Out","OK",268,"MOD1:Coil0268:Read"
